Title,RSS URL,Website,Category
AI & Machine Learning,https://cloudblog.withgoogle.com/products/ai-machine-learning/rss/,https://cloud.google.com/blog/products/ai-machine-learning/,tech
Google DeepMind,https://blog.google/technology/google-deepmind/rss/,https://blog.google/technology/google-deepmind/,tech
Release notes from gradle,https://github.com/gradle/gradle/releases.atom,https://github.com/gradle/gradle/releases,tech
Gemini,https://blog.google/products/gemini/rss/,https://blog.google/products/gemini/,tech
Next.js Blog,https://nextjs.org/feed.xml,https://nextjs.org,tech
Release notes from node,https://github.com/nodejs/node/releases.atom,https://github.com/nodejs/node/releases,tech
OpenAI News,https://openai.com/blog/rss.xml,https://openai.com/news,tech
Spring Releases,http://spring.io/blog/category/releases.atom,https://spring.io,tech
IntelliJ IDEA : IntelliJ IDEA – the IDE for Professional Development in Java and Kotlin | The JetBrains Blog,http://blogs.jetbrains.com/idea/feed/,https://blog.jetbrains.com,tech
Visual Studio Code - Code Editing. Redefined.,https://code.visualstudio.com/feed.xml,https://code.visualstudio.com/,tech
OpenAI,https://www.youtube.com/feeds/videos.xml?channel_id=UCXZCJLdBC09xxGZ6gcdrc6A,https://www.youtube.com/channel/UCXZCJLdBC09xxGZ6gcdrc6A,tech
DeepMind ,https://deepmind.com/blog/feed/basic/,https://deepmind.google/discover/blog/,tech
Release notes from vscode,https://github.com/Microsoft/vscode/releases.atom,https://github.com/microsoft/vscode/releases,tech
The Official Google Blog,http://googleblog.blogspot.com/feeds/posts/default,https://blog.google/,tech
Hugging Face - Blog,https://huggingface.co/blog/feed.xml,https://huggingface.co/blog,tech
TypeScript,http://blogs.msdn.com/b/typescript/rss.aspx,https://devblogs.microsoft.com/typescript/,tech
Sam Altman,http://blog.samaltman.com/posts.atom,https://blog.samaltman.com,tech
Java Annotated : IntelliJ IDEA | The JetBrains Blog,http://blog.jetbrains.com/idea/tag/java-annotated/feed/,https://blog.jetbrains.com,tech
Release notes from next.js,https://github.com/zeit/next.js/releases.atom,https://github.com/vercel/next.js/releases,tech
DeepMind - YouTube,https://www.youtube.com/feeds/videos.xml?channel_id=UCP7jMXSY2xbc3KCAE0MHQ-A,https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A,tech
JavaScript Weekly,http://javascriptweekly.com/rss,https://javascriptweekly.com/,tech
News - Stability AI,https://stability.ai/news?format=rss,https://stability.ai/news/,tech
Stephen Wolfram Writings,https://writings.stephenwolfram.com/feed/,https://writings.stephenwolfram.com,tech
Gemini Code Assist - Release notes,https://developers.google.com/feeds/gemini-code-assist-free-release-notes.xml,,tech
Anthropic,https://www.youtube.com/feeds/videos.xml?channel_id=UCrDwWp7EBBv4NwvScIpBDOA,https://www.youtube.com/channel/UCrDwWp7EBBv4NwvScIpBDOA,tech
Release notes from kubernetes,https://github.com/kubernetes/kubernetes/releases.atom,https://github.com/kubernetes/kubernetes/releases,tech
AI,https://www.blog.google/technology/ai/rss/,https://blog.google/technology/ai/,tech
Apple Newsroom,http://www.apple.com/kr/pr/feeds/pr.rss,https://www.apple.com/kr/newsroom/,tech
The latest on GitHub Copilot - The GitHub Blog,https://github.blog/ai-and-ml/github-copilot/feed/,https://github.blog/ai-and-ml/github-copilot/,tech
JetBrains,https://www.youtube.com/feeds/videos.xml?channel_id=UCGp4UBwpTNegd_4nCpuBcow,https://www.youtube.com/channel/UCGp4UBwpTNegd_4nCpuBcow,tech
React Blog – React,https://rss-scraper.deno.dev/feed.xml?url=https%3A%2F%2Freact.dev%2Fblog&itemSelector=a&titleSelector=h2,https://react.dev/blog,tech
Microsoft AI Blogs,https://www.microsoft.com/en-us/ai/blog/feed/,https://www.microsoft.com/en-us/ai/blog/,tech
Changelog | Cursor - The AI Code Editor,https://rsshub.seckv.com/cursor/changelog,https://www.cursor.com/changelog,tech
OpenAI ,https://blog.openai.com/rss/,https://blog.openai.com,tech
karpathy,https://karpathy.bearblog.dev/feed/,https://karpathy.bearblog.dev/,tech
LangChain Blog,https://blog.langchain.dev/rss/,https://blog.langchain.com/,tech
Firebase,https://www.youtube.com/feeds/videos.xml?channel_id=UCP4bf6IHJJQehibu6ai__cg,https://www.youtube.com/channel/UCP4bf6IHJJQehibu6ai__cg,tech
Google DeepMind Blog,https://deepmind.google/blog/rss.xml,https://deepmind.google/discover/blog/,tech
Apple Machine Learning Research,https://machinelearning.apple.com/rss.xml,https://machinelearning.apple.com,tech
